"mL NaOH",pH
0,1.574
0.6,1.688
1,1.812
1.4,1.88
1.8,1.998
2.2,2.092
2.6,2.197
3.4,2.38
3.8,2.478
4.2,2.609
4.6,2.761
5,2.952
5.4,3.179
5.8,3.51
6.2,7.282
6.4,8.213
6.8,8.527
7.2,8.859
7.6,9.034
8,9.17
8.4,9.325
8.8,9.443
9.2,9.554
9.6,9.655
10,9.751
10.4,9.883
10.8,9.983
11.2,10.105
11.6,10.222
12,10.397
12.4,10.611
12.8,10.933
13.2,11.519
13.6,11.959
14,12.175
